Transmission_BW (bps),Transmission_BW (kbps),ImgHeight,ImgWidth,Datasize,Tx_true,Datasize (bits),Tx_calc,Link_Utilization
128000,128,720,960,976410,64.48279574,7811280,61.025625,0.946386153
128000,128,960,719,1226595,80.84665295,9812760,76.6621875,0.948241946
128000,128,642,960,804148,53.17332555,6433184,50.25925,0.945196665
128000,128,960,765,906843,59.96377216,7254744,56.6776875,0.945198834
128000,128,960,960,955547,63.1027251,7644376,59.7216875,0.946420102
128000,128,686,960,896736,59.31082902,7173888,56.046,0.944953914
128000,128,548,822,1017275,67.1986048,8138200,63.5796875,0.946145946
128000,128,576,720,689807,45.69029114,5518456,43.1129375,0.943590781
128000,128,536,559,497496,33.15816844,3979968,31.0935,0.937732736
128000,128,387,462,339513,22.82523022,2716104,21.2195625,0.929653821
128000,128,351,309,135021,9.40696506,1080168,8.4388125,0.897081306
128000,128,366,770,721296,47.81461199,5770368,45.081,0.942828941
128000,128,480,640,821168,54.32775157,6569344,51.323,0.944692142
128000,128,480,640,766240,50.7535258,6129920,47.89,0.943579766
128000,128,480,640,633322,42.02536241,5066576,39.582625,0.941874685
128000,128,960,1280,2188564,143.8011772,17508512,136.78525,0.95121092
128000,128,960,1280,2559360,168.0539027,20474880,159.96,0.951837461
128000,128,960,1280,2533995,166.4055706,20271960,158.3746875,0.951739097
128000,128,960,1280,2706112,177.6579737,21648896,169.132,0.952009057
128000,128,960,1280,2519906,165.4603541,20159248,157.494125,0.951854152
128000,128,960,1280,3442989,225.8871041,27543912,215.1868125,0.952629914
128000,128,960,1280,3118173,204.5619199,24945384,194.8858125,0.952698394
128000,128,877,1240,2470642,162.2529006,19765136,154.415125,0.95169408
256000,256,576,768,1046140,34.78370354,8369120,32.691875,0.939861822
256000,256,576,768,1046484,34.76740827,8371872,32.702625,0.940611527
256000,256,576,768,1052068,34.94442868,8416544,32.877125,0.94084025
256000,256,800,1200,2485823,81.87772353,19886584,77.68196875,0.948755845
256000,256,619,1100,1629932,53.85940338,13039456,50.935375,0.945709975
256000,256,400,620,558718,18.84092352,4469744,17.4599375,0.926702849
256000,256,533,800,861161,28.72946399,6889288,26.91128125,0.936713656
