Spec Type,CPU Load (%),datasize,imgHeight,imgWidth,T_p,,,,
0,25,1226595,960,719,1.117857611,,,,
0,25,497496,536,559,0.710883051,,,,
0,25,370409,279,640,0.589586669,,,,
0,25,3214460,1600,1200,2.282745581,,,,
0,25,2249694,1530,1530,2.754760845,,,,
0,25,1688157,1073,1600,2.140393373,,,,
0,25,906843,960,765,1.138497789,,,,
0,25,766240,480,640,0.721452557,,,,
0,25,2485823,800,1200,1.329571463,,,,
0,25,2470642,877,1240,1.509843519,,,,
0,25,1017275,548,822,0.849645604,,,,
0,25,721296,366,770,0.70107325,,,,
0,25,840644,845,960,1.199366079,,,,
0,25,1593233,903,1600,1.873531438,,,,
0,25,238233,429,640,0.673069368,,,,
0,25,922497,639,960,1.036654868,,,,
0,25,2388074,1600,1390,2.671401404,,,,
0,25,2165827,1200,1600,2.293099332,,,,
0,25,976410,720,960,1.094573535,,,,
0,25,861161,533,800,0.819947213,,,,
0,25,2053451,1600,1070,2.100159878,,,,
0,25,465161,480,640,0.710083712,,,,
0,25,872558,642,960,1.005026832,,,,
0,25,2414769,808,1600,1.664344667,,,,
0,25,2111250,1600,1068,2.080385564,,,,
0,25,2559360,960,1280,1.595520303,,,,
0,25,3118173,960,1280,1.614728642,,,,
0,25,2188564,960,1280,1.611591967,,,,
0,25,1426464,1600,1070,2.094654856,,,,
0,25,339513,387,462,0.590794751,,,,
0,25,2676486,1600,1065,2.103511774,,,,
0,25,1245145,1600,1600,2.915534199,,,,
0,25,1111809,720,960,1.088329046,,,,
0,25,2519906,960,1280,1.633235412,,,,
0,25,1956028,1200,1600,2.360149563,,,,
0,25,2215286,1050,1600,2.08194183,,,,
0,25,2033663,1200,1600,2.341626867,,,,
0,25,1517519,898,1600,1.795620607,,,,
0,25,3020157,1600,1200,2.336652189,,,,
0,25,991079,639,960,1.037705112,,,,
0,25,689807,576,720,0.817837807,,,,
0,25,441589,480,640,0.688145346,,,,
0,25,1469480,1065,1600,2.10740193,,,,
0,25,1052068,576,768,0.832548275,,,,
0,25,1901959,898,1600,1.869914258,,,,
0,25,1629932,619,1100,1.057786266,,,,
0,25,1828266,1068,1600,2.092166385,,,,
0,25,135021,351,309,0.529551139,,,,
0,25,1378276,1068,1600,2.122998242,,,,
0,25,3442989,960,1280,1.616192332,,,,
0,25,2746640,1065,1600,2.209798765,,,,
0,25,2706112,960,1280,1.630185342,,,,
0,25,2127391,1600,1200,2.366802898,,,,
0,25,2533995,960,1280,1.634081456,,,,
0,25,1092545,465,1600,1.128318783,,,,
0,25,1710539,1500,1295,2.375350833,,,,
0,25,299013,375,500,0.582032939,,,,
0,25,2782693,1298,1600,2.615255145,,,,
0,25,1766842,1200,1600,2.25697536,,,,
0,25,310825,375,500,0.593306655,,,,
0,25,939716,918,918,1.2523455,,,,
0,25,2821410,1200,1600,2.260775172,,,,
0,50,2974053,1600,1550,5.152973944,,,,
0,50,1282401,938,1250,2.182052906,,,,
0,50,1151338,720,960,1.474209911,,,,
0,50,2071394,1210,1600,3.150326914,,,,
0,50,558718,400,620,0.953156209,,,,
0,50,2884168,1530,1530,3.677442603,,,,
0,50,1993508,1143,1600,3.244260039,,,,
0,50,374013,333,500,0.894303574,,,,
0,50,221663,375,500,0.813034082,,,,
0,50,1352544,938,1250,2.147863411,,,,
0,50,1915446,1600,1068,2.868898114,,,,
0,50,1202040,639,960,1.353802425,,,,
0,50,1926564,1200,1600,3.262639985,,,,
0,50,826374,720,960,1.595039707,,,,
0,50,896736,686,960,1.613710351,,,,
0,50,2092639,1200,1600,2.970999377,,,,
0,50,1162591,938,1250,2.206239662,,,,
0,50,796277,726,960,1.485717824,,,,
0,50,1653536,1250,1228,2.772011459,,,,
0,50,2331418,1600,1200,3.206136295,,,,
0,50,633322,480,640,0.917911962,,,,
0,50,1554899,1595,1600,4.109678987,,,,
0,50,821168,480,640,1.04563504,,,,
0,50,2503272,1020,1600,2.659452232,,,,
0,50,2582799,1600,1280,3.388456749,,,,
0,50,1885600,1180,1600,3.259731524,,,,
0,50,349774,375,500,0.878219441,,,,
0,50,804148,642,960,1.34526689,,,,
0,50,2296687,1095,1600,3.085655215,,,,
0,50,1413641,1250,938,2.142785528,,,,
0,50,1847500,1200,1600,3.143244898,,,,
0,50,2402644,1200,1600,3.357861861,,,,
0,50,2144622,1600,1068,2.806697912,,,,
0,50,415601,420,640,0.978440162,,,,
0,50,383725,383,640,0.944929213,,,,
0,50,955547,960,960,1.668267681,,,,
0,50,1046140,576,768,1.17291961,,,,
0,50,1046484,576,768,1.169042858,,,,
0,50,1226595,960,719,1.671285337,,,,
0,50,497496,536,559,0.903991322,,,,
0,50,370409,279,640,0.704254442,,,,
0,50,3214460,1600,1200,3.259813653,,,,
0,50,2249694,1530,1530,3.866803496,,,,
0,50,1688157,1073,1600,2.90899722,,,,
0,50,906843,960,765,1.621780517,,,,
0,50,766240,480,640,0.893790584,,,,
0,50,2485823,800,1200,1.914121313,,,,
0,50,2470642,877,1240,2.087390024,,,,
0,50,1017275,548,822,1.256332378,,,,
0,50,721296,366,770,0.725011956,,,,
0,50,840644,845,960,1.771263577,,,,
0,50,1593233,903,1600,2.544654515,,,,
0,50,238233,429,640,1.013382451,,,,
0,50,922497,639,960,1.343418283,,,,
0,50,2388074,1600,1390,3.65715369,,,,
0,50,2165827,1200,1600,3.222280396,,,,
0,50,976410,720,960,1.382145382,,,,
0,50,861161,533,800,1.112528366,,,,
0,50,2053451,1600,1070,2.995007248,,,,
0,50,465161,480,640,0.887869988,,,,
0,50,872558,642,960,1.511356968,,,,
0,50,2414769,808,1600,2.277957201,,,,
